ID,Nama_Wisata,Provinsi,Kota_Kabupaten,Kategori,Harga_Tiket,Deskripsi_Fitur,Fitur_Kunci (Tags)
21,Danau Sentani,Papua,Jayapura,Alam,10000,Danau luas lereng pegunungan Cycloop pulau kecil tengah danau budaya suku asmat kerajinan lokal ulat sagu pemandangan tenang damai alami alam.,"danau, gunung, pulau, budaya, kerajinan, tenang, damai, alami"
22,Tana Toraja,Sulawesi Selatan,Tana Toraja,Budaya,30000,Tradisi pemakaman unik tebing batu tau-tau patung kayu rumah adat tongkonan sejarah leluhur kental mistis spiritual budaya tinggi mendunia sepi.,"makam, budaya, tongkonan, sejarah, spiritual, mistis, unik"
23,Pantai Pandawa,Bali,Badung,Pantai,20000,Pantai pasir putih balik tebing kapur terjal patung panca pandawa megah kano air jernih ombak tenang keluarga santai foto air biru.,"pantai, tebing, patung, kano, jernih, keluarga, santai, foto"
24,Nusa Penida,Bali,Klungkung,Alam,25000,Pulau eksotis tebing kelingking beach dinosaurus pantai atuh broken beach petualangan jalan terjal pemandangan laut lepas menakjubkan mendunia.,"pulau, pantai, tebing, laut, petualangan, foto, mendunia"
25,Gedung Sate,Jawa Barat,Bandung,Sejarah,50000,Gedung pemerintahan kolonial belanda ornamen tusuk sate puncak atap museum digital interaktif sejarah bandung arsitektur klasik megah edukasi foto.,"kolonial, belanda, museum, sejarah, arsitektur, edukasi, ikonik"
26,Garuda Wisnu Kencana,Bali,Badung,Budaya,125000,Patung dewa wisnu burung garuda raksasa mahakarya nyoman nuarta taman budaya luas pementasan tari kecak teater megah ikonik modern ramai foto.,"patung, budaya, kecak, taman, megah, seni, ramai, ikonik"
27,Pantai Parangtritis,DI Yogyakarta,Bantul,Pantai,10000,Pantai laut selatan pasir hitam luas ombak besar mistis nyi roro kidul bendi delman paralayang matahari terbenam sunset ramai malam hari.,"pantai, laut_selatan, ombak, sunset, mistis, delman, ramai"
28,Jatim Park 3,Jawa Timur,Batu,Modern,120000,Taman bermain edukasi dinosaurus dino park museum lilin musik dunia teknologi interaktif canggih wahana seru keluarga anak instagramable ramai.,"dinosaurus, taman_bermain, edukasi, teknologi, anak, keluarga, ramai"
29,Wae Rebo,Nusa Tenggara Timur,Manggarai,Budaya,200000,Desa adat terpencil atas awan rumah kerucut mbaru niang pegunungan tinggi adat istiadat kopi lokal tracking mendaki gunung sepi alami tradisional.,"desa_adat, gunung, awan, kopi, tracking, tradisional, sepi"
30,Banda Neira,Maluku,Maluku Tengah,Sejarah,40000,Pulau bersejarah pala benteng belgica kolonial voc laut jernih lumba-lumba gunung api snorkeling menyelam sejarah rempah masa lalu tenang sepi.,"sejarah, kolonial, benteng, pala, laut, snorkeling, gunung, sepi"
31,Pantai Ora,Maluku,Maluku Tengah,Pantai,25000,Pantai tersembunyi resort kayu atas air jernih terumbu karang terlihat langsung bawah kaki pegunungan hijau lebat romantis honeymoon tenang damai.,"pantai, resort, jernih, terumbu, romantis, honeymoon, tenang"
32,Tangkuban Perahu,Jawa Barat,Bandung,Alam,30000,Gunung berapi aktif kawah ratu kawah upas luas bau belerang kuat cerita rakyat sangkuriang legenda udara dingin hutan mati berkabut ramai foto.,"kawah, gunung, belerang, legenda, dingin, berkabut, ramai"
33,Tebing Breksi,DI Yogyakarta,Sleman,Modern,10000,Bekas tambang batu kapur disulap menjadi tebing ukiran seni wayang megah amphitheater terbuka pemandangan kota jogja dari atas sunset foto tangga.,"tebing, ukiran, seni, sunset, foto, bekas_tambang, anak_muda"
34,Karimunjawa,Jawa Tengah,Jepara,Alam,25000,Kepulauan laut jernih pantai pasir putih penangkaran hiu berenang bareng hiu snorkeling terumbu karang pulau terpencil santai murah backpacker.,"pulau, hiu, snorkeling, pantai, pasir_putih, jernih, backpacker"
35,Fort Rotterdam,Sulawesi Selatan,Makassar,Sejarah,10000,Benteng peninggalan kerajaan gowa tallo diambil alih belanda arsitektur eropa klasik museum la galigo sejarah makassar kokoh pusat kota edukasi.,"benteng, sejarah, kolonial, belanda, museum, arsitektur, edukasi"
36,Green Canyon,Jawa Barat,Pangandaran,Alam,200000,Aliran sungai hijau jernih menembus gua tebing batu lumut body rafting berenang petualangan alam air terjun mini sejuk alami seru menantang.,"sungai, tebing, gua, rafting, berenang, petualangan, alami, seru"
37,Pantai Tanjung Tinggi,Bangka Belitung,Belitung,Pantai,10000,Pantai lokasi film laskar pelangi batu granit raksasa tersebar pinggir pantai pasir putih lembut air tenang jernih aman anak berenang foto.,"pantai, granit, laskar_pelangi, pasir_putih, jernih, film, anak"
38,Kampung Cai Ranca Upas,Jawa Barat,Bandung,Alam,25000,Penangkaran rusa memberi makan rusa langsung bumi perkemahan camping ground pemandian air panas alami udara sangat dingin kabut hutan pinus sejuk.,"rusa, camping, air_panas, dingin, pinus, keluarga, alam"
39,Dusun Bambu,Jawa Barat,Bandung,Modern,40000,Ekowisata kuliner danau buatan restoran sarung burung sampan dayung pondok kayu pedesaan asri taman bunga luas keluarga sejuk estetis tenang.,"kuliner, danau, restoran, keluarga, sejuk, asri, foto, taman"
40,Pantai Pink,Nusa Tenggara Timur,Manggarai Barat,Pantai,50000,Pantai unik pasir berwarna merah muda serpihan karang merah air laut toska jernih snorkeling terumbu karang bukit tandus eksotis foto mendunia.,"pantai, pasir_pink, snorkeling, eksotis, unik, foto, mendunia"
41,Saloka Theme Park,Jawa Tengah,Semarang,Modern,120000,Taman rekreasi terbesar jawa tengah wahana permainan ekstrem bianglala raksasa kincir air edukasi legenda nusantara keluarga anak seru ramai.,"taman_bermain, wahana, ekstrem, anak, keluarga, ramai, seru"
42,Istana Maimun,Sumatera Utara,Medan,Sejarah,10000,Istana kesultanan deli arsitektur perpaduan melayu islam spanyol italia warna kuning dominan sewa baju adat melayu foto singgasana sejarah edukasi.,"istana, melayu, sejarah, arsitektur, baju_adat, edukasi, foto"
43,Puncak Bogor,Jawa Barat,Bogor,Alam,15000,Kebun teh hijau luas hamparan pegunungan udara dingin sejuk villa penginapan kuliner jagung bakar sate paragliding akhir pekan ramai macet keluarga.,"kebun_teh, gunung, dingin, sejuk, villa, kuliner, keluarga, ramai"
44,Pantai Kelingking,Bali,Klungkung,Pantai,50000,Tebing batu bentuk t-rex dinosaurus menjorok laut pantai tersembunyi bawah tebing tangga terjal ekstrem ombak besar pemandangan spektakuler mendunia.,"tebing, pantai, laut, ekstrem, tangga, petualangan, foto, mendunia"
45,Umbul Ponggok,Jawa Tengah,Klaten,Modern,15000,Mata air alami jernih kolam dasar pasir ikan tawar foto bawah air underwater unik properti motor sepeda tv dalam air snorkeling seru ramai.,"mata_air, jernih, foto_underwater, ikan, unik, ramai, seru"
46,Pulau Lengkuas,Bangka Belitung,Belitung,Alam,0,Pulau kecil menara suar mercusuar kuno tahun 1882 belanda batu granit kolam bidadari snorkeling terumbu karang biota laut jernih sejarah sepi.,"pulau, mercusuar, sejarah, kolonial, granit, snorkeling, jernih"
47,Bukit Jamur,Kalimantan Barat,Bengkayang,Alam,10000,Bukit bebatuan besar mirip jamur pemandangan samudra awan pagi hari mendaki tracking camping anak muda petualangan alam terbuka indah fajar.,"bukit, awan, camping, tracking, petualangan, fajar, anak_muda"
48,Danau Labuan Cermin,Kalimantan Timur,Berau,Alam,20000,Danau dua rasa air asin dasar air tawar permukaan bening seperti kaca perahu terlihat melayang hutan bakau lindung sejuk tenang misteri alami.,"danau, bening, kaca, perahu_melayang, hutan_bakau, alami, sepi"
49,Trans Studio Bandung,Jawa Barat,Bandung,Modern,200000,Taman bermain dalam ruangan indoor theme park terbesar wahana ekstrem roller coaster dunia anak pertunjukan sulap megah mall pusat kota ramai.,"indoor, taman_bermain, wahana, roller_coaster, anak, keluarga, ramai"
50,Museum Tsunami,Aceh,Banda Aceh,Sejarah,15000,Monumen peringatan tsunami 2004 arsitektur ridwan kamil lorong sempit gemercik air ruang sumur doa museum digital foto memori edukasi sejarah sedih.,"museum, tsunami, sejarah, arsitektur, edukasi, monumen, religi"
